Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
266 64.02(0).21 W. Ley, Watchers of the Sky; An Informal History of Astronomy from Babylon to the Space Age, London, Sidgwick and Jackson Ltd., 1964, 13+528 pp, 45s, J. Astr. Soc. Victoria 17 100 and Nature 203 335 and Spaceflight 7 30, 

267 64.02(0).22 J. N. Lockyer, The Dawn of Astronomy, Cambridge MA, The MIT Press, 1964, 16+432 pp, $2.95 and 10.00?, J. Astr. Soc. Victoria 17 102 and Strolling Astronomer 18 299, 

268 64.02(0).32 E. Rybka, Four Hundred Years of the Copernican Heritage, Cracow, Jagellonian Univ., 1964, 230 pp, zł 36, Postępy Astr. 13 139, 

269 64.02(0).35 I. Todhunter, A History of the Mathematical Theories of Attraction and the Figure of the Earth from the Time of Newton to that of Laplace, New York, Dover Publications Inc., 1962, 36+984 pp, $7.50, Naturwissenschaften  51 472 and ZfA 59 283, reprint of 1873;

270 64.02(0).39 C. F. Weizsäcker, Die Tragweite der Wissenschaften Band 1 Schöpfung und Weltentstehung, Stuttgart, S. Hirzel Verlag, 1964, 243 pp, DM 10.00, Phys. Blätter 21 338, 

271 64.02(0).46 Ptolemäus, Handbuch der Astronomie Band 1 und 2, Liepzig, B. G. Teubner Verlagsgesellschaft, 1963, 32+461 pp and 6+466 pp, DM 18.20 and 16.20, Sternenbote 7 39 and VdS Nachr. 13 155, translated  by K. Manitius;edited by K. Manitius;other with a forward by O. Neugebaur; 

272 64.03(0).05 H. Cuny, Camille Flammarion et l’Astronomie populaire, Paris, Editions Seghers, 1964, 204 pp, F 7.10, BSAF 78 429 and L Nature 92 452, 

273 64.03(0).21 D. B. Larson, Beyond Newton, Portland OR, North Pacific Publishers, 1964, , $5.00, , 

274 64.03(0).25 N. I. Newskaja, Theodor Alexandrowitsch Bredichin 1831—1904, Moskau-Leningrad, <<Nauka>>, 1964, 253 pp, 80 Kop., , 

275 64.03(0).26 S. K. Nowoksehanowa (Sokolowskaja), Wassilij Jakowlewitsch Struve, Moskau, <<Nauka>>, 1964, 296 pp, 95 Kop., AJ UdSSR 42 869 and EuW 1 Nr. 4 94 and Priroda 54 Nr. 5 125, 

276 64.03(0).33 C. Ronan, The Astronomers, London, Evans Brothers, 1964, 232 pp, 25s and $5.00, JBAA 75 67 and Sky Tel. 29 108 and Sky Tel. 29 375, also published New York: Hill & Wang Inc.;

277 64.03(0).37 W. L. Schaaf, Carl Fredrich Gauss, New York, Franklin Watts Inc., 1964, 168 pp, $2.95, Sky Tel. 28 38, 

278 64.03(0).38 K. Selig, Albert Einstein, Moskau, <<Atom-Verlag>>, 1964, 205 pp, 63 Kop., RJ UdSSR 1965 1.51.21, translated from German;in Russian;

279 64.03(0).39 N. Sullivan, Pioneer Astronomers, New York, Atheneum Publishers, 1964, 156 pp, $3.75, Sky Tel. 28 165 and Sky Tel. 29 238, 

280 64.03(0).45 A. A. Michajlow ed., Wasslij Jakowlewitsch Struve (1793—1864), Moskau, <<Nauka>>, 1964, 250 pp, , EuW 1 Nr. 4 94, 

281 64.03(1).61 B. G. Kusnezow, Galilei, Moskau, <<Nauka>>, 1964, 326 pp, 1R. 8 Kop., , 

282 64.03(1).71 E. Schuhmacher, Der Fall Galilei, Darmstadt, Progress-Verlag Johann Fladung GmbH, 1964, 254 pp, DM 16.50, Weltraumfahrt 16 95, 

283 64.03(1).72 L. I. Sedow, Galilei und die Grundlagen der Mechanik Zum 400 Geburtstag, Moskau, <<Nauka>>, 1964, 40 pp, 15 Kop., Priroda 53 Nr. 7 38, 

284 64.08(2).33 L. Goldberg and A. J. Deutsch and D. Layzer ed., Annual Review of Astronomy and Astrophysics Vol. 2, Palo Alto CA, Annual Reviews Inc., 1964, 8+462 pp, $8.50, Planet. Space Sci. 13 728 and Publ ASP 77 63 and Sky Tel 28 300 and ZfA 60 291, 

285 64.08(2).34 T. D. Nicholson ed., Astronomy Highlights, New York, Natural History Press, 1964, , $4.00, Science 148 939 and Sky Tel. 28 374, 

286 64.08(2).35 J. A. Saxton ed., Advances in Radio Research Vol. 1 and 2, New York, Academic Press Inc., 1964, 10+226 pp and 10+215 pp, 50s and 50s, Planet. Space Sci. 13 870, 

287 64.08(2).36 , Tomorrow Was Yesterday, New York, George Braziller Inc., 1964, 91 pp, $3.50, Publ ASP 76 364, other see also 64.19.22; 

288 64.08(3).59 , Ground-Based Astronomy comma a Ten-Year Program, Washington D.C., National Academy of Sciences-National Research Council, 1964, 105 pp, $4.00, BSAF 79 152 and Phys. Today 18 Nr. 2 19 and Science 146 899 and Science 146 1255 and SuW 4 110, 

289 64.08(4).65 M. M. Dagajew, Labor-Praktikum zum Lehrgang über allgemeine Astronomie für Pädagogische Hochschulen der UdSSR, Moskau, <<Wysschaja Schkola>>, 1963, 316 pp, 77 Kop., , 

290 64.08(4).66 B. Ernst, Wat geen oog kan zien, Hilversum, , 1964, 24 color picture in small format, f 13.50, HeD 63 25, 

