Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, pagination, cost, review [and review [and …]], comments
75 65.43(0).33 K. F. Ogorodnikow, Dynamics of Stellar Systems, Oxford-London, Pergamon Press, 1965, 11+359 pp, £5 and $15.00, Ann d’Astrophys 28 580 and BSAF 80 302 and J. Astronaut. Sci 13 128 and Obs 86 38 and Orion Schaffhausen 10 238 and Science 149 531 and Sky Tel. 30 102 and Spaceflight 8 72 and Stud. Cerc. Astr. 10 254 and ZfA 63 284, translated from Russian by J. B. Sykes;edited by A. Beer;

76 65.44(0).01 R. Adler and M. Bazin and M. Schiffler, Introduction to General Relativity, New York, McGraw-Hill Book Company, 1965, 15+451 pp, $14.50, Math. Rev 30 1060 and Nature 207 793 and Phys. Abstr. 69 880 and Phys. Today 18 Nr 9 68, 

77 65.44(0).02 J. Aharoni, The Special Theory of Relativity, Oxford, Clarendon Press, 1965, 10+331 pp, £3 10s, Nature 211 1017 and Proc. Phys. Soc. 87 995, 2nd edition;also published London: Oxford University Press;

78 65.44(0).16 H. Bondi, Kosmologia, Warszawa, Państwowe Wydawnictwo Naukowe, 1965, 235 pp, zł 18, , 

79 65.44(0).18 M. Born, Die Relativitätstheorie Einsteins, Berlin-Göttingen-Heidelberg-New York, Springer Verlag, 1964, 12+328 pp, DM 10.80, Naturwissenschaften 52 196, 4th edition;contributors W. Biem;

80 65.44(0).37 A. D. Fokker, Time and Space comma Weight and Inertia, New York, Pergamon Press, 1965, 204 pp, $10.00, , translated from Russian by D. Bijl;

81 65.44(0).77 G. C. McVittie, General Relativity and Cosmology, London, Chapman & Hall Ltd., 1965, 12+241 pp, 50s and $6.95, Ann d’Astrophys 28 754 and J. Astronaut. Sci. 13 92 and Orion Schaffhausen 10 191 and Planet. Space Sci. 14 221 and Publ. ASP 78 181 and Science 149 1493 and Sky Tel. 30 169 and Stud. Cerc. Astr. 10 253 and ZfA 63 219, 2nd edition;also published Urbana IL: University of Illinois Press;

82 65.44(0).91 J. D. North, The Measure of the Universe comma a History of Modern Cosmology, London-New York, Oxford University Press, 1965, 28+436, 70s and $11.20, Endeavor 25 110 and Obs 86 125 and Planet. Space Sci. 14 382 and Science 153 159 and ZfA 64 94, also published Oxford: Clarendon Press;

83 65.44(0).109 H. Reichenbach, The Theory of Relativity and a Priori Knowledge, Berkeley, University of California Press, 1965, 162 pp, $5.00, , translated from German by M. Reichenbach;

84 65.44(0).132 J. L. Synge, Relativity: The Special Theory, Amsterdam, North-Holland Publishing Company, 1965, 14+459 pp, hfl 43, , 2nd edition;

85 65.44(0).149 , Beobachtungsgrundlagen der Kosmologie, Moskau, <<Mir>>, 1965, 368 pp, 1R. 46 Kop., AJ UdSSR 43 238, translated from English by J. P. Pskowskij and G. B. Scholomizkij;in Russian;

86 65.44(1).174 B. K. Harrison and K. S. Thorne and M. Wakano and J. A. Wheeler, Gravitation Theory and Gravitational Collapse, Chicago-London, The University of Chicago Press, 1965, 17+177 pp, $6.50, Nature 211 346 and Obs 86 90 and Sci. American 213 Nr. 2 116 and Sky Tel. 30 39, 

87 65.31(0).14 J. Dick, Grundtatsachen der sphärischen Astronomie, Leipzig, J. A. Barth, 1965, 4+211 pp, DM 8.00, Sternenbote 9 82, 2nd edition;

88 65.31(0).41 W. W. Podobed, Fundamental Astrometry: Determination of Stellar Coordinates, Chicago-London, University of Chicago Press, 1965, 12+236 pp, $7.50, BSAF 80 31 and Mem SA It (NS) 36 519 and Obs 86 89 and Orion Schaffhausen 10 190 and Science 148 413 and Sky Tel. 29 239 and Sky Tel. 30 38, translated from Russian by A. N. Vyssotsky;

89 65.32(1).13 A. Kahrstedt ed., Index der Sternörter 1925-1960 Index II Band IV CoD -41˚ bis CoD -61˚ comma CPD -62˚ bis CPD -89˚, Berlin, Akademie Verlag, 1965, 28+354 pp, DM 51.00, , 

90 65.32(1).14 A. Kahrstedt ed., Index der Sternörter 1925-1960 Index II Band VIII BD +31˚ bis BD +50˚, Berlin, Akademie Verlag, 1965, 38+336 pp, DM 50.00, , 

91 65.32(2).15 A. Brun and H. Vehrenberg, Atlas of Harvard-Groningen Selected Areas, Düsseldorf, Treugesell-Verlag, 1965, 11pp and 163 charts, DM 60.00 and $22.00, Orion Schaffhausen 11 120 and Sternenbote 9 127 and Sky Tel. 31 42, 

92 65.32(2).17 A. A. Michajlow, Sternatlas comma Vier Karten des Sternhimmels bis 50˚ südlicher Deklination comma enthaltend alle Stene bis 5½ Größe, Moskau-Leningrad, <<Nauka>>, 1965, 21 pp, 25 Kop., , 4th edition;

