Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
54 58.05(0).36 R. A. Lyttleton, Kloderne og Universet; Moderne astronomi uden matematik, Kopenhagen, Jul. Gjellerups forlag, 1958, 219 pp, kr. 20, NAT 1958 104, translated from English by G. Lundbak and A. Lundbak;

55 58.05(0).37 L. Mallen, A Guide to Astronomy, London-New York, Arco Publishing Co., 1958, 134 pp, 15s and $2.00, Publ ASP 70 521 and Sky Tel. 17 525, 

56 58.05(0).38 A. Marshak, The World in Space, Edinburgh, Thomas Nelson & Sons, 1958, 176 pp, , El Universo Nr. 45 201, 

57 58.05(0).39 R. K. Marshall, Sun comma Moon comma and Planets, New York, Henry Holt and Co., 1958, 129 pp, , , 3rd edition;other see also AJB 52.70.14; 

58 58.05(0).40 C. Mennella, Luci ed ombre tra i mondi sidereli; panorama degli astri che ci attendono, Torino, Società editrice internazionale, 1958, 8+219 pp, L 1000, Coelum 27 54, 

59 58.05(0).41 C. Mennella, Dalla Terra alle stelle; fatti e racconti del passato del mondo attuale e del prossimo futuro, Torino, Società editrice internazionale, 1958, 8+243 pp, L 1000, Coelum 27 55, 

60 58.05(0).42 F. W. Michels, Sterrenkunde, Alkmaar, Arti-Encyclopedie, , 64 pp, hfl. 1.90, Hemel en Dampkring 56 194, 

61 58.05(0).43 P. Moore, The Boy’s Book of Astronomy, London, Burke Publishing Co., 1958, 6+143 pp, 9s 6d, Spaceflight  2 60, 

62 58.05(0).44 P. Moore, Your Book of Astronomy, London, Faber & Faber Ltd., 1958, 72 pp, 8s 6d, JBAA 68 274, 

63 58.05(0).45 P. Moore, The Amateur Astronomer, London, Lutterworth Press, 1958, 317, 25s, Spaceflight 2 92, 

64 58.05(0).46 J. Nangle and H. Wood, Stars of the Southern Heavens, Sydney-London, Angus and Robertson  Ltd., 1958, 13+129 pp, 18s, J. Astr. Soc. Victoria 11 81, 4th edition;

65 58.05(0).47 M. Ovenden, Looking at the Stars, New York, Philosophical Library, 1957, 192 pp, $4.75, Astronaut. Sci. Rev. 1 24, other see also AJB 57.05.50; 

66 58.05(0).48 C. Payne-Gaposchkin, Le stelle in formazione, Milano, Feltrinelli, 1958, 171 pp, L 2500, Coelum 26 90 and L’Universo 28 1016, reprint of AJB 52.05.40;translated from English by M. Cavedon;

67 58.05(0).50 J. I. Perelman, Unterhaltende Astronomie, Moskau, Phys.-Math. Staatsverlag, 1958, 212 pp, 3R. 60 Kop., Ciel et Terre 75 171, 9th edition;in Russian;other see also AJB 57.05.59; 

68 58.05(0).51 J. S. Pickering, One Thousand and one Questions Answered about Astronomy, New York, Dodd Mead, 1958, 420 pp, $6.00, J RAS Canada 53 48 and Sky Tel. 17 525 and Sky Tel. 18 216 and Sky Tel. 18 219, 

69 58.05(0).52 S. Plakidis, Pratikische Astronomie, Athen, , 1956, 7+334 pp and 115 pp, , , in Greek;other 2 volumes Vol A published 1958 Vol B published 1956; 

70 58.05(0).53 S. Plakidis, Einführung in die Mathematische Astronomie Band B, Athen, , 1958, 281 pp, , , in Greek;

71 58.05(0).54 P. I. Popow, Allgemeinverständliche praktische Astronomie, Moskau, Staatsverlag für phys.-math. Literatur, 1958, 160 pp, 3R. 85 Kop., Priroda 47 Nr. 9 121, 4th edition;in Russian;

72 58.05(0).55 P. I. Popow and K. L. Bajew and B. A. Woronzow-Weljaminow and R. W. Kunizkij, Astronomie: Lehrbuch für die physikalisch-mathematischen Fakultäten pädagogischer Institute, Moskau, Lehr-pädagogischer Staatsverlag, 1958, 462 pp, 11R. 85 Kop., , 4th edition;in Russian;

73 58.05(0).56 M. Radovanvić, O nebeskim telima comma sunčevom sistemu i zemlji, Beograd, <<Rad>>, 1957, 52 pp, , , 

74 58.05(0).57 L. Rosino, Fisica delle stelle, , , , , , RJ UdSSR 1959 Nr. 1 7, reference AJB 56.05.63;

75 58.05(0).58 P. Rousseau, L’astronomie nouvelle, Paris, Arth. Fayard, 1958, 367 pp, ffrs. 950, Ciel et Terre 74 289, other revised edition; 

76 58.05(0).59 G. Ruggieri, Mondi nello spazio; I Pianeti nel sistema solare e nell’universo siderale, Roma, Associazione per le scienze astronautiche, 1958, 187 pp, L 2000, Coelum 26 147, 

77 58.05(0).60 E. Rybka, Astronomia dla klasy XI, Warszawa, Państwowe Zakłady Wydawnictw Szkolnych, 1958, 168 pp, 5.50 zł, , other textbook for middle school; 

78 58.05(0).61 J. de Saint Denis, Astronomie, Paris, Ed. maritimes et colonialles, 1958, 80 pp, , , 

79 58.05(0).62 E. Schopen, Jenseits der Milchstraße, Berlin, Gebrüder Weiß Verlag, 1957, 270 pp, , Weltraumfahrt 1958 126, 

80 58.05(0).63 W. Schroeder, Practical Astronomy, London, Wyman and Sons Ltd., 1957, , , J. appl. Phys. 29 234 and J. Optical Soc. America 49 106, other see also AJB 57.05.60; 

81 58.05(0).64 W. Schroeder, Praktische Astronomie für Sternfreunde, Stuttgart, Franckh’sche Verlagshandlung, 1958, 180 pp, DM 14.80, Mitt. Planetenbeobachter 11 10 and Naturwiss. Rundschau 11 156 and Sterne 34 205 and VdS Nachr. 7 77, other see also AJB 58.05.63; 

82 58.05(0).65 N. Siukajew, Erde und Himmel, Staliner, , 1957, 293 pp, 4R 75 Kop., , in osset.;

83 58.05(0).66 J. R. Smith, Teaching a Unit in Astronomy: Grades 1—9, New York, Vantage Press, 1958, 149 pp, $2.75, Publ ASP 71 478 and Sky Tel. 18 344 and Sky Tel. 18 458 and Strolling Astronomer 13 82, 

84 58.05(0).67 O. Struve, The Astronomical Universe, Eugene OR, University of Oregon Press, 1958, 55 pp, $1.50, Ann d’Astrophys 22 189 and Obs 78 263 and Publ ASP 70 337 and Sky Tel. 17 419, 

85 58.05(0).68 R. Tagore, Our Universe, London, Meridian Books, 1958, 9+106 pp, 12s 6d, , translated from Begalischen;

86 58.05(0).69 B. Valníček, Pracovní metody soudobé astronomie, Prag, Orbis, 1958, 80 pp, Kčs 3.10, , in Tschech;

87 58.05(0).70 G. de Vaucouleurs, Discovery of the Universe, , , , , , J RAS Canada 53 184, reference AJB 57.05.63;

88 58.05(0).72 Å. Wallenquist, Astronomi; Den moderna astrofysikens resultat och forskningsmetoder, Stockholm, Svenska Bokförlaget Bonniers, 1958, 309 pp, Kr. 28, PAT 39 82 and Urania København 15 22, 

89 58.05(0).73 P. Wehrlé, L’univers aléatoire, Paris, Dunod, 1956, 459 pp, , RJ UdSSR 1959 Nr. 2 4, also published Neuchâtel: Griffon;

90 58.05(0).74 F. L. Whipple, Earth comma Moon comma and Planets, New York, Grosset and Dunlap Inc, 1958, 9+293 pp, $2.95, Publ ASP 70 338 and Sky Tel. 17 419, 

91 58.05(0).75 S. K. Wsechswjatskij, Wie sich das Weltall erkennen läßt, Frunse, , 1956, 56 pp, 85 Kop., , in Kirgis;

92 58.05(0).76 S. K. Wsechswjatskij, Wie das Weltall ergorscht wurde, Kischinew, , 1958, 52 pp, 75 Kop., , in Moldavian;other see also AJB 58.05.75; 

93 58.05(0).77 W. Zonn and K. Rudnicki, Astronomia Gwiazdowa, , , , , , Postępy Astr. 6 178, reference AJB 57.05.72;

94 58.05(0).78 F. Zwicky, Morphologische Forschung, Zürich, Morphologische Gesellschaft, 1958, , Fr. 6, Orion Schaffhausen 5 626, 

95 58.05(0).79 M. Zelikoff ed., The Threshold of Space, , , , , , La Nature 86 334, reference AJB 57.05.77;

96 58.05(0).80 , Astronomie comma Lehrbuch für die 10 Klasse, Bukarest, Staatsverlag Didakt. Pädagog. Literatur, 1956, 235 pp, 4.60 lei, , in German;

