"BookID","Title","Copyright","Edition","Printing","PurchaseDate","PurchasePrice","PurchasedFrom","PublishedAt","Publisher","Condition","Description","Comments","Wanted","AccessionNumber"
1610,"Where Did We Come From? Life of an Astrobiologist",2015,1,,07/15/2016 0:00:00,$0.00,128,,113,"Fine","9 1/4"" x 6 1/4"", xxxviii, 198 pp, printed boards no dust jacket as issued",,0,487
1611,"Hidden Figures",2016,1,1,09/09/2016 0:00:00,$27.99,279,"New York",122,"Fine","9 1/4"" x 6 3/8"", xviii, 346 pp, quarter bound rust spine with brown paper, with pictorial dust jacket",,0,488
1612,"My World Line; An Informal Autobiography",1970,1,1,09/09/2016 0:00:00,$30.00,152,"New York",159,"Very Good","8 3/4"" x 6"", xii,  278 pp, quarter bound blue cloth spine with gray cloth, with clipped dust jacket in very good","copyright held by The Estate of George Gamow",0,489
1613,"The Wind and Beyond, Theodore von Karman: Pioneer in Aviation and Pathfinder in Space",1967,1,2,09/09/2016 0:00:00,$30.00,152,"Boston",216,"Very Good","9 1/4"" x 6"", (6), 376 pp, black cloth with dust jacket in very good",,0,490
1614,"The Realm of the Terrestrial Planets",1979,1,1,09/09/2016 0:00:00,$4.99,152,"New York",106,"Very Good","9 1/2"" x 6 1/2"", x, 221 pp,black cloth, gold stamped spine, with dust jacket in good","A Halsted Press book, imprint of John Wiley and Sons, also published in the UK by The Institute of Physics",0,491
1615,"Fundamentals of Celestial Mechanics",1988,2,5,09/09/2016 0:00:00,$14.98,152,"Richmond VA",189,"Fine","9"" x 6"", xii, 483 pp, grey glossy pictorial boards, no dust jacket","signature of Mitch Richling on front paste down",0,492
1616,"The Background of Astronomy",1957,1,,09/09/2016 0:00:00,$10.00,152,"London",280,"Very Good","8 3/4"" x 5 3/4"", 254 pp, green cloth with silver stamped spine, with clipped pictorial dust jacket in good",,0,493
1617,"The Milky Way",1957,3,2,09/09/2016 0:00:00,$5.00,152,"cambridge",84,"Fine","9 1/2"" x 6 3/4"", vi, 269 pp,blue-gray cloth with silver stamped spine, with clipped pictorial dust jacket in very good","part of The Harvard Books on Astronomy, Series two",0,494
1618,"Professor Todd's New Astronomy",1926,4,,09/12/2016 0:00:00,$7.00,2,"New York",281,"Very Good","7 1/2"" x 5 1/2"", 480 pp, with illustrations, blue pictorial cloth","Some pencil marks",0,495
1619,"Popular Physics and Astronomy",1996,1,,09/12/2016 0:00:00,$10.00,2,"Lanham MD",200,"Fine","9"" x 6"", 507 pp, red paper boards,","part of the Magill Bibliography Series",0,496
1620,"Astronomy Data Book",1979,2,,09/12/2016 0:00:00,$5.00,2,"New York",106,"Fine","9"" x 6"", 272 pp, black cloth with dust jacket fine",,0,497
1621,"Of Me - W. J. Humphreys",1947,1,,09/12/2016 0:00:00,$45.00,2,"Baltimore",282,"Very Good","9 1/4"" x 6 1/4"", vii, 375 pp, red cloth",,0,498
1622,"Misfortunes as Blessings in Disguise",2002,1,,09/12/2016 0:00:00,$150.00,2,"Cambridge MA",18,"Fine","10"" x 7 1/4"", xvii, 176 pp,blue cloth",,0,499
1623,"Atlas of the heavens; Atlas Coeli",1958,1,2,,$0.00,,"Cambridge MA",64,"Fine","16 1/2"" x 23 1/4"", 2 pp, 16 charts, yellow cloth with blue blind stamped title.","received from Alice Hack, daughter of Paul Jose. This is a reprint in English",0,500
1624,"Astronomy at Yale 1701-1968",1992,1,,12/12/2016 0:00:00,$125.00,284,"New Haven CT",283,"Very Good","11 1/4"" x 8 3/4"", xvii, 230 pp, blue cloth with gold blind stamp, dustjacket in fine","Memoirs of the Connecticut Academy of Arts and Sciences Volume XXIII, inscription on front free end paper '10.21.92 | Best wishes to John L. McGuerty | Dorrit Hoffleit'",0,501
1625,"The Glass Universe; How the ladies of the Harvard Observatory took the measure of the stars",2016,1,2,12/27/2016 0:00:00,$27.00,233,"New York",159,"Fine","9 3/8"" x 6 1/4"", xii, 324 pp, blue paper half bound with black paper, printed dust jacket in fine",,0,502
1626,"Early Investigations of Ceres and the Discovery of Pallas",2016,2,,01/06/2017 0:00:00,$142.00,287,"Switzerland",287,"Fine","9 1/2"" x 6 1/2"", xix, 412 pp, printed boards, no dust jacket issued","putchased at 229th meeting of AAS Jam 2017  in Gaylord Texas",0,503
1627,"The Rise of Radio Astronomy in the Netherlands",2017,1,,01/06/2017 0:00:00,$103.20,287,"Switzerland",287,"Fine","9 1/2"" x 6 1/2"", xiv, 240 pp, printed boards, no dust jacket issued","purchased at the 229th AAS Jan 2017 meetingin Gaylord TX",0,504
1628,"Cosmological Theory",1949,2,,01/09/2017 0:00:00,$12.00,285,"New York",106,"Very Good","6 7/8"" x 4 3/8"", viii, 103 pp, yellow cloth with back stamps, yellow paper dust jacket in Very Good","Methuen's Monographs on Physical Subjects, ownership signature of ""George Lamb(?) | December 21, 1950"". This book was printed in Great Britain by Methuen but has a dust cover marked John Wiley and Sons.",0,505
1629,"Physik der Sternatmospharen",1938,1,,01/09/2017 0:00:00,$0.00,286,"Berlin",288,"Very Good","10"" x 7 1/4"",viii, 500 pp, 3/4 bound black cloth with marbled boards.",,0,506
1631,"The Observational Approach to Cosmology",1937,1,,01/17/2017 0:00:00,$25.30,291,"London",93,"Very Good","9"" x 6"", ix, 68pp, blue cloth with gold stamped spine,","Rhodes Memorial Lectures, Oxford, 1936",0,507
1632,"The Book of the Sextant with Ancient and Modern Instruments of Navigation",1938,1,,01/20/2017 0:00:00,$35.43,290,"Glasgow",289,"Very Good","9"" x 6"", 90pp, blue cloth with gold stamped spine, with printed yellow paper jacket,",,0,508
1633,"Cosmological Theory",1937,1,,12/31/2016 0:00:00,$5.04,292,"London",136,"Very Good","7"" x 4 1/2"", viii,103 pp, yellow cloth with black blind stamp, orange dust jacket, spine faded other wise very good","some pencil marks inside",0,509
1634,"Cecilia Payne-Gaposchkin; An autobiography and other recolletions",1984,1,,01/22/2017 0:00:00,$38.24,291,"Cambridge",54,"Fine","8 3/4"" x 5 3/4"", vi, 269 pp, black cloth with gold stamped spine, with printed dust jacket",,0,510
1635,"Anni Mirabiles: A Symposium Celebrating the 90th Birthday of Dorrit Hoffleit",1999,,,01/22/2017 0:00:00,$50.99,291,"Schenectady, NY",116,"Fine","9 1/4"" x 6 1/4"", xiii,173 pp, blue gray cloth with gold stamped cover and spine, no dust jacket as issued",,0,511
1636,"Radiative Transfer",1950,1,,01/22/2017 0:00:00,$76.48,291,"Oxford",47,"Fine","9 1/2"" x 6 1/2"", xiv, 393 pp, b;;ue cloth with gold stamped spine, grey paper dust jacket price clipped.",,0,512
1637,"Nuclear Astrophysics",1967,1,,01/22/2017 0:00:00,$12.75,291,"Philadelphia",221,"Fine","9 1/2"" x 6 1/4"", xv, 109 pp, blue cloth with gold stamped spine and front cover, dust jacket in fine.","American Philisophical Society Jayne Lecture 1965",0,513
1638,"The Distribution of Stars in Space",1937,,,02/13/2017 0:00:00,$7.99,293,"Chicago",14,"Very Good","9 1/2"" x 6 3/4"", xvi, 124 pp, blue paper covers, the cover is dirty around the edges from handling and the spine is worn with torn head and tail.","Astrophysical Monographs sponsered by the Astropysical Journal",0,514
1639,"Optical Masers",1964,1,,04/20/2017 0:00:00,$10.00,294,"London",136,"Very Good","7 1/2"" x 5 1/4"", viii, 103 pp, blue cloth with silver stamped spine and front cover, with price clipped dust jackets, some tears along top edge","Signature of 'Richardson' in front free end paper. Some pencil marks on pages and jacket. Part of ""Metheun's Monographs on Physical Subjects""",0,515
1640,"Renaissance Books of Science",1970,1,,04/20/2017 0:00:00,$8.00,294,"Dartmouth NH",295,"Very Good","9 3/4"" x 6 1/4"", 123 pp, printed paper covers","Red and black ink used in text. Catelogue of an exhibition from the collection of Albert E. Lownes at Dartmouth College April/May 1970",0,516
1641,"Cosmic Discovery; The Search, Scope & Heritage of Astronomy",1981,1,1,04/20/2017 0:00:00,$7.00,294,"New York",88,"Very Good","9 1/2"" x 6 1/4"", xi, 334 pp, blue cloth with gold stamped spine, price clipped dust jacket in Fine.","Signed 'Firestono' on front free end paper",0,517
1642,"The Sokal Hoax",2000,1,,04/20/2017 0:00:00,$9.50,294,"Lincoln",296,"Very Good","9"" x 6"", ix, 271 pp, printed paper covers",,0,518
1643,"A Brilliant Darkness",2009,1,1,04/20/2017 0:00:00,$9.50,294,"New York",88,"Fine","9 1/2"" x 6 1/4"", xxi, 280 pp, quarter bound black paper and blue paper, silver stamped spine, with dust jacket in Fine","A biography os Ettore Majorana",0,519
1644,"The Making of a Soviet Scientist",1994,1,1,04/20/2017 0:00:00,$8.50,294,"New York",106,"Fine","9 1/2"" x 6 1/4"", xi, 339 pp, quarter bound with black and blue paper,gold stamp on spine, with dust jacket in Fine","autobiography",0,520
1645,"Catalogue of Bright Stars",1964,3,,04/20/2017 0:00:00,$5.50,294,"New Haven CT",46,"Very Good","11"" x 8 1/2"", 415 pp, printed paper covers",,0,521
1646,"Highlights of Astronomy",1932,1,,08/30/2017 0:00:00,$20.00,298,"Chicago",14,"Very Good","9"" x 7"", xiii,280 pp, brown cloth, no DJ, gold stamped spine, front hinge cracked","published in 1935 as the introductory text for the astronomy portion of the General Course in Physical Sciendes, a part of Hutchinson's 'New Plan' for the undergraduate curriculum.",0,522
1647,"A Historical Catlogue of Scientists and Scientific Books; from the Earliest Times to the Close of the Nineteenth Century",1984,1,,08/30/2017 0:00:00,$18.95,297,"New York",198,"Very Good","9"" x 6"", xxii, 1177 pp, green cloth with gold stamped spine, no DJ","ex-lib from the Michigan Technological University Library, Houghton Michigan",0,523
